time,open,close,high,low,volume
1388537220000,735.47,735.0,735.47,735.0,0.21
1388537340000,735.5,739.0,740.0,734.51,435.92431519
1388537400000,739.0,739.0,739.0,738.98,8.3971618
1388537460000,739.0,739.18,739.27,736.04,4.8109758000000005
1388537520000,739.17,738.98,740.0,738.0,0.6808738
1388537580000,739.26,739.95,739.95,739.0,8.46903359
1388537640000,740.0,738.98,740.0,738.98,1.7652576
1388537700000,738.98,739.59,739.59,738.98,1.0533637
1388537760000,740.0,740.0,740.0,740.0,1.1
1388537820000,740.0,738.5904,740.0,738.0,8.149285540000001
1388537880000,740.0,739.28,740.0,739.0,8.5420337
1388537940000,739.28,739.28,739.28,739.28,0.15
1388538000000,737.67,740.75,740.75,737.66,3.7094495
1388538060000,740.74,740.74,740.74,740.74,5.0
1388538240000,740.0,740.0,740.0,740.0,2.0
1388538300000,740.0,740.0,740.0,740.0,11.560849900000001
1388538360000,740.0,740.0,740.0,740.0,4.5
1388538420000,740.0,740.2,740.2,740.0,2.13
1388538480000,738.5,738.5,738.5,738.5,0.2892308
1388538600000,737.7,739.9,740.0,737.65,20.1051859
1388538660000,738.7,738.7,738.99,738.7,0.8808547999999999
1388538720000,739.9,740.0,740.0,739.9,10.59
1388538780000,740.0,740.0,740.0,740.0,0.011
1388538840000,740.0,740.0,740.0,737.7,2.0189101
1388538900000,740.0,737.7,740.0,737.7,0.9952792
1388538960000,738.7,737.0,738.7,737.0,8.03302574
1388539020000,737.01,736.41,740.0,736.41,14.308019100000001
1388539080000,736.41,738.7,738.7,736.41,3.8089205
1388539140000,737.65,740.4598,740.4598,737.65,0.01409415
1388539260000,739.99,740.0,740.0,739.99,6.3399956
1388539320000,740.0,739.99,740.0,739.99,2.654
1388539440000,739.9,739.89,740.5,739.89,1.2000000000000002
1388539500000,739.99,739.99,739.99,739.99,6.7130583
1388539740000,738.77,738.77,738.77,738.11,7.207572600000001
1388539800000,738.11,738.11,738.11,738.0,2.4801913
1388539860000,737.7,738.7,738.7,737.7,0.04743940000000001
1388539920000,739.0,737.6801,739.0,737.6801,10.82817758
1388539980000,737.6801,740.0,740.0,737.6701,25.91269359
1388540040000,739.99,739.64,739.99,739.64,0.20819126
1388540160000,740.0,740.0,740.0,740.0,2.3
1388540220000,740.0,740.0,740.0,740.0,3.0
1388540340000,740.0,740.0,740.0,740.0,4.0
1388540520000,740.25,740.25,740.25,740.25,5.64157247
1388540580000,740.25,740.25,740.25,740.25,0.06445110000000001
1388540640000,740.25,740.25,740.25,740.25,2.48
1388540700000,740.49999,740.25,740.49999,740.25,20.437376429999997
1388540820000,740.0,740.0,740.0,740.0,5.3100000000000005
1388540880000,740.0,740.0,740.0,740.0,0.11407961
1388541000000,740.0,740.0,740.0,740.0,5.0
1388541120000,740.49999,740.49999,740.49999,740.49999,0.2
1388541360000,739.99,740.49,740.49,739.99,11.06
1388541420000,740.49999,742.0,742.0,739.62,332.50952236000006
1388541480000,742.0,742.9989,742.9989,741.99,62.0
1388541540000,742.9989,742.9989,742.9989,742.9989,3.72
1388541600000,742.998,742.9989,742.9989,742.998,0.33
1388541660000,742.9989,742.95,743.67,742.11,25.66
1388541720000,744.98,744.98,744.98,744.98,0.1
1388541780000,744.99,744.5,746.6,744.5,11.1
1388541840000,744.5,745.0,746.6,744.5,9.6637969
1388541900000,745.0,745.0,745.0,745.0,0.55
1388541960000,745.0,745.0,745.0,745.0,13.0
1388542020000,747.0,747.68,747.68,743.5,1.5607692000000002
1388542080000,744.6,742.0,744.6,742.0,25.0
1388542260000,744.5,742.0,744.51,742.0,3.25
1388542320000,742.02,742.02,742.02,742.02,1.3
1388542380000,744.68,750.0,750.0,744.68,65.41981622
1388542440000,750.23,751.0,752.0,750.0,12.700000000000001
1388542500000,751.0,750.5,755.0,750.5,10.27052121
1388542560000,750.53,750.0,750.53,750.0,3.95871245
1388542680000,746.73,749.34,750.6,746.73,15.850999999999999
1388542740000,747.04,747.04,747.04,747.04,1.0
1388542800000,747.1919,747.01,747.1919,747.01,0.1
1388542860000,747.05,756.0,756.0,747.05,22.155279150000002
1388542920000,756.0,752.27,756.0,752.26,6.367245799999999
1388542980000,755.0,755.0,756.0,755.0,5.22720466
1388543040000,755.9,757.0,757.0,754.83,5.0
1388543100000,756.94,755.0,757.0,753.41,3.2296923
1388543160000,752.9,752.3,752.9,752.3,1.0
1388543220000,752.99,753.0,753.01,752.99,5.1
1388543280000,752.3,752.3,752.3,751.69864,3.29083786
1388543340000,752.3,752.3,752.3,752.3,0.051000000000000004
1388543400000,752.2,752.2,752.2,752.2,0.05
1388543460000,752.2,752.2,752.2,752.2,0.1
1388543520000,751.79,752.21,752.21,751.0,34.7520367
1388543580000,750.12,752.21,752.21,750.0,37.3
1388543640000,752.21,753.23,754.99,752.21,52.56792284
1388543760000,752.21,752.21,752.21,752.21,10.0
1388543820000,754.0,754.0,754.0,754.0,1.3916391000000001
1388543880000,752.21,752.21,752.21,752.21,7.8701551
1388543940000,752.08,752.0,752.08,752.0,2.1237271
1388544060000,748.3,748.49,749.4,747.2,3.0
1388544120000,748.49,745.56,749.64,745.56,3.8364848
1388544240000,748.0,748.9,748.9,747.39,0.0269
1388544300000,745.59,748.86,748.86,745.59,0.305
1388544540000,748.0,748.88,748.88,748.0,1.0050000000000001
1388544600000,747.9,747.9,747.9,747.9,0.05
1388544660000,748.88,748.88,748.88,748.88,2.20528148
1388544720000,748.85,748.85,748.85,748.85,0.0133
1388544900000,747.91,748.88,748.88,747.91,4.67471852
1388544960000,748.8,748.8,748.8,748.8,0.044
1388545020000,747.9,748.73,749.5,744.94,17.545035699999996
1388545080000,748.49,748.89,748.89,748.49,5.74
1388545200000,746.99,742.2,748.9,742.2,34.26
1388545380000,745.02,748.5,748.5,742.35,1.5
1388545500000,744.07,748.8,748.8,742.35,14.431849170000003
1388545560000,747.18,744.1,748.9,744.1,5.01815083
1388545800000,747.19,747.19,747.19,747.19,1.7261399
1388546040000,747.18,746.19,747.2,746.19,16.1435374
1388546220000,746.19,746.19,746.19,746.19,0.0093001
1388546280000,746.2,746.19,746.2,746.19,1.0
1388546340000,746.19,746.19,746.19,746.19,9.75e-05
1388546400000,748.44,748.45,748.45,748.44,1.5384615
1388546460000,746.99,747.0,747.0,746.99,0.375
1388546580000,746.19,747.19,747.19,746.19,0.21420058000000003
1388546640000,746.94,747.5,747.5,746.94,20.455734
1388546700000,745.0,743.1101,745.0,743.1101,7.836603500000001
1388546760000,743.1201,742.5162,743.1201,742.5162,2.0
1388546880000,742.5262,743.0,743.0,742.5262,0.7850529
1388546940000,743.11,742.23,743.11,742.23,11.270000000000001
1388547060000,742.24,742.24,742.24,742.24,0.07
1388547120000,742.2501,742.2401,742.2501,742.2401,4.0
1388547300000,742.01,742.01,742.01,742.01,1.9122488
1388547360000,742.01,742.01,742.01,742.01,0.1662359
1388547420000,742.2401,742.2401,742.2401,742.2401,0.15279394
1388547480000,742.24,742.24,742.24,742.24,0.05
1388547540000,742.2401,743.0,743.0,742.2401,10.0
1388547840000,743.0,744.5,744.5,743.0,0.5575600599999999
1388547900000,746.24,745.0,746.25,744.99,4.51133996
1388548020000,743.19,743.19,743.19,743.19,1.4139
1388548080000,742.07,742.07,742.07,742.07,0.0278887
1388548140000,743.19,743.19,743.19,743.19,0.1
1388548200000,743.19,743.19,743.19,743.19,0.8
1388548260000,743.19,743.19,743.19,743.19,4.3145665
1388548320000,743.19,743.2,743.3,743.19,1.2780122999999999
1388548380000,743.35,743.35,743.35,743.35,7.0
1388548440000,743.19,743.19,743.19,743.19,0.1
1388548500000,743.19,743.19,743.19,743.19,0.6530399
1388548560000,740.0,740.0,743.1,740.0,2.2563641999999997
1388549280000,747.02,747.02,747.02,747.02,0.36929999999999996
1388549340000,747.03,747.02,747.03,747.02,3.04994
1388549400000,747.0,747.13,747.13,747.0,22.0701347
1388549460000,746.02,743.3601,746.02,743.3601,2.29003477
1388549820000,743.53,743.53,743.53,743.53,0.35
1388550000000,747.02,747.02,747.02,747.02,5.8582881
1388550060000,743.53,746.7586,746.7586,743.36,10.147008320000001
1388550120000,746.9,746.8898,747.0,746.8798,8.015733999999998
1388550180000,746.8798,746.8798,746.8798,746.8798,0.082
1388550240000,746.8798,746.8898,746.8898,746.8798,2.0
1388550300000,746.8898,747.02,747.02,746.8898,18.5
1388550360000,747.02,747.19,748.9,747.0,2.0
1388550420000,747.0,747.19,747.19,747.0,2.0
1388550480000,748.9499,747.19,749.0,747.01,42.0
1388550540000,749.0,749.0,749.56,747.0,28.7330769
1388550600000,749.0,747.0,749.0,747.0,2.2436049999999996
1388550660000,749.0,749.0,749.0,747.0,3.2433745
1388550720000,749.0,749.0,749.0,749.0,2.0
1388550780000,747.2,748.99,749.0,747.2,9.0
1388550840000,747.0,749.0,749.0,747.0,2.0
1388550900000,747.2,749.0,749.0,747.2,3.0
1388550960000,749.0,749.0,749.0,749.0,2.0
1388551020000,749.0,749.0,749.0,749.0,3.0
1388551080000,749.0,749.0,749.0,749.0,2.0
1388551140000,749.0,749.0,749.0,747.0,3.0
1388551200000,749.0,749.0,749.0,747.0,2.1
1388551260000,748.99,743.3601,748.99,743.3601,13.000000000000002
1388551380000,745.76,745.75,745.76,745.75,4.0
1388551440000,745.76,745.75,745.76,745.75,2.0
1388551620000,745.11,745.1,745.11,745.1,1.0
1388551800000,748.49,748.49,748.49,748.49,1.0
1388551860000,748.49,748.9698,748.9698,748.49,5.0
1388552100000,745.1201,745.1101,745.1201,745.1101,2.6
1388552160000,748.7899,746.0,748.98,746.0,5.254400000000001
1388552220000,745.31,745.31,745.31,745.31,1.0
1388552280000,745.31,745.31,745.31,745.31,1.0
1388552340000,745.31,745.31,745.31,745.31,1.7456
1388552520000,748.59,748.6,748.6,748.59,1.0
1388552580000,748.59,748.96,748.96,748.59,5.0
1388552640000,749.0,749.0,749.0,749.0,0.01
1388552760000,749.0,748.95,749.0,748.95,25.30012
1388552880000,748.99,748.98,749.0,748.98,4.0
1388552940000,749.0,749.0,749.0,749.0,2.0
1388553060000,747.0,746.28,747.0,746.28,10.664200000000001
1388553180000,749.96,749.96,749.96,747.0,4.1958
1388553240000,748.93,748.93,748.93,748.93,0.13070534
1388553540000,749.89,749.89,749.89,749.89,2.24141068
1388553600000,748.91,748.95,748.95,748.91,4.2958
1388553660000,749.93,749.93,749.93,749.93,5.3636938
1388553780000,748.89,748.89,748.89,748.89,0.005
1388554020000,748.89,749.0,749.0,748.89,2.5
1388554140000,749.0,748.99,749.0,748.25,2.5137183
1388554740000,748.8,748.25,748.8,748.25,5.4
1388554800000,748.5,748.5,748.5,748.5,5.0
1388554920000,748.25,748.25,748.25,748.25,1.0
1388555040000,748.25,748.96,748.96,748.25,1.6022429999999999
1388555160000,746.46,746.41,746.46,746.41,3.6300000000000003
1388555220000,746.41,746.41,746.41,746.41,0.82
1388555280000,748.96,746.28,748.96,746.28,0.0508237
1388555460000,748.01,748.01,748.01,748.01,1.8780538
1388555520000,747.98,749.7,749.7,747.98,6.289176299999999
1388555580000,748.0,748.0,748.0,747.98,10.0
1388555760000,749.8,749.8,749.8,749.8,0.3685336
1388555880000,749.9,749.9,749.9,749.9,1.4456592
1388555940000,749.9,749.9,749.9,749.9,0.0322054
1388556000000,749.9,748.9,749.9,748.9,1.3310285
1388556120000,749.8,748.01,749.8,748.01,0.7631028
1388556180000,748.01,748.01,748.01,748.01,0.3395923
1388556300000,747.6,747.6,747.6,747.6,0.0072
1388556420000,746.28,746.28,746.28,746.28,7.0
1388556540000,746.28,747.9,747.9,746.28,0.40378513
1388556600000,746.9,746.9,746.9,746.9,0.010299
1388556660000,743.5201,743.5201,743.5201,743.5201,0.01
1388556900000,747.91,747.9,747.91,747.9,0.7195398
1388557200000,744.0,744.0,744.0,744.0,10.0
1388557260000,744.0,744.0,744.0,744.0,0.0301
1388557320000,744.0,744.0,744.0,744.0,1.0
1388557380000,744.0,744.0,744.0,743.4,8.810792380000002
1388557440000,744.0,744.0,744.0,744.0,3.0
1388557500000,744.0,744.0,744.0,744.0,4.0
1388557560000,744.0,744.0,744.0,743.11,2.564
1388557620000,743.11,743.1,743.11,743.1,0.65
1388557680000,743.11,743.11,743.11,743.11,0.65
1388557800000,743.9851,743.9851,743.9851,743.9851,1.0
1388557980000,743.1201,742.54,743.1201,742.54,0.8487991
1388558040000,741.2,742.2,742.2,741.2,11.386281499999999
1388558100000,743.1302,746.8789,746.8789,743.1,6.0
1388558460000,744.69,744.69,744.69,744.69,1.3571101
1388558520000,744.69,744.69,744.69,744.69,0.2478716
1388558580000,746.87,747.598,747.598,746.87,1.0
1388558640000,747.5678,747.5678,747.5678,747.5678,1.0
1388558820000,744.69,744.69,744.69,744.69,0.2458057
1388558880000,744.7,744.7,744.7,744.7,0.0769231
1388558940000,744.69,744.69,744.69,744.69,0.2427085
1388559120000,744.7,744.7,744.7,744.7,0.4637485
1388560080000,747.5895,747.5895,747.5895,747.5895,0.05
1388560320000,745.0201,745.0,745.0201,745.0,3.2399999999999998
1388560560000,747.2899,747.2899,747.2899,747.2899,0.0448
1388560740000,747.7596,749.0,749.0,747.7596,30.0
1388560800000,746.99,745.0101,746.99,745.0101,2.86685796
1388560860000,748.7495,748.7495,748.7495,748.7495,0.5
1388560980000,749.5,749.5,749.5,749.5,155.6622918
1388561040000,749.5,749.5,749.5,749.5,27.867461
1388561220000,749.54,749.54,749.54,749.54,4.58
1388561280000,749.54,749.54,749.54,749.54,1.2719089
1388561340000,749.54,749.54,749.54,749.54,0.009
1388561400000,749.54,749.54,749.54,749.54,0.2268562
1388561640000,745.04,745.04,745.04,745.04,0.1
1388562120000,747.55,747.55,747.55,747.55,0.8638696
1388562180000,747.55,747.55,747.55,747.55,0.0179234
1388562360000,744.73,744.73,744.73,744.73,11.586581
1388563080000,744.7701,744.7701,744.7701,744.7701,0.38134163
1388563260000,746.99,747.0,747.0,746.99,2.0
1388563320000,743.89,744.89,744.89,743.89,0.0206953
1388563440000,745.01,745.0,745.01,745.0,0.9
1388563500000,747.0,747.3,747.3,747.0,2.5
1388563620000,744.87,744.87,744.87,744.87,1.2307692
1388563680000,744.84,744.87,744.87,744.84,0.37169030000000003
1388563800000,744.84,744.84,744.84,744.84,0.0902968
1388563920000,744.0,744.5,744.5,744.0,4.9638591
1388563980000,744.84,744.5,744.84,744.17,0.9598670300000001
